Preferred Label,Parents,Word Count,Frequency
Waste_managment_facility,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,2093
Industrial_noise_pollution,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,0
Ozone_Depeletion,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,2,0
Airborne_disease_transmission_in_public_spaces,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,6,49
Built_in_environment,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,3,16554
genetic_predisposition_disease,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,4
Respiratory_disease,http://www.co-ode.org/ontologies/ont.owl#Chronic_Disease,2,18174
Alcohol_consumption_effects,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,3
Exposure_to_pollutants_workplace,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,716
Construction_dust_hazrad,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,0
Mental_health_support_in_workplace,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,5,2569
Home_as_microenvironment,http://www.co-ode.org/ontologies/ont.owl#At_the_microenvironmental_level,3,229
Exposure_to_pollutants_home,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,1332
Lead_pipes_workplace,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,0
workplace_as_macroenvironment,http://www.co-ode.org/ontologies/ont.owl#At_the_microenvironmental_level,3,1
Access_to_clean_bathrooms_at_work,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,6,7
At_the_microenvironmental_level,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,4,835
Trans_boundary_pollution,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,3,2
land_use_planning,http://www.co-ode.org/ontologies/ont.owl#Built_in_environment,3,462
Asbestos_Exposure_home,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,3,10
policy_governance_effect,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,3,15845
Access_to_clean_Water,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,4,228
Exposure_to_toxins_home,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,67
housing_quality,http://www.co-ode.org/ontologies/ont.owl#Built_in_environment,2,285
Chronic_Disease,http://www.co-ode.org/ontologies/ont.owl#Health_outcomes,2,51879
acid_rain,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,2,388
Radon_Exposure_through_soil,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,4,83
Cleaning_chemical_risk,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,3,837
Erosion_in_irrigation_channels,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,4,3
Infectious_disease,http://www.co-ode.org/ontologies/ont.owl#Health_outcomes,2,79867
Environmental_triggers_Asthma,http://www.co-ode.org/ontologies/ont.owl#genetic_predisposition_disease,3,537
Tobacco_smoking_impact,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,3896
regulations_on_air_Quality,http://www.co-ode.org/ontologies/ont.owl#policy_governance_effect,4,3505
Thermal_comfort_in_home,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,4,51
Indoor_mold_growth,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,3,1
High_fat_diet_Risk,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,4759
Lead_pipes_at_home,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,4,7
Microplastic_drinking_Water,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_home,3,453
Exposure_to_hazards_lifestyle_factors,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,5,520
Poor_ventilation_effects,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,3,1154
Poor_indoor_light_quality,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,4,30
Asthma,http://www.co-ode.org/ontologies/ont.owl#Respiratory_disease,1,47526
Agriculture_pesticide_Exposure,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,5208
Ocean_acidification,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,2,1217
regulations_on_water_quality,http://www.co-ode.org/ontologies/ont.owl#policy_governance_effect,4,4115
Public_green_spaces,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,49
Community_resilience,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,2,715
loss_of_urban_forest,http://www.co-ode.org/ontologies/ont.owl#Accessibility_to_green_space,4,379
Exposure_to_toxins_workplace,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,4,42
Health_outcomes,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,2,57270
At_the_macroenvironmental_level,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,4,19
Extreme_weather_Events,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,3,1334
Accessibility_to_green_space,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,4,0
Indoor_heat_stress_in_workplace,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,5,7
Demographics,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,1,70014
Desertification,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,1,1304
Lead_pipes_community,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,26
Rising_sea_level,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,3,23
Lung_cancer,http://www.co-ode.org/ontologies/ont.owl#toxin_induced_cancer_risk,2,83191
Accessibility_to_cleanstreets,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,3,327572
Clean_sanitation_facility,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,374
Physical_safety_measures_in_workplace,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,5,338
Exposure_to_synthetic_materials,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,4,771
Organic_pollutants,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,2,8781
At_the_mesoenvironmental_level,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,4,0
Cultural_norms,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,2,1343
Radiation_from_electronics,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,3,59472
Soil_pollution,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,2,2452
Environmental_Determinants_of_Health,http://www.w3.org/2002/07/owl#Thing,4,763
Accesbility_to_transportation,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,3,282094
Bio_diversity_loss,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,3,307
Access_to_nutritious_food,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,4,490
Bronchitis,http://www.co-ode.org/ontologies/ont.owl#Respiratory_disease,1,3562
Climatic_changes,http://www.co-ode.org/ontologies/ont.owl#Extreme_weather_Events,2,869
Sedentary_lifestyle_consequence,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,514
Marine_pollution,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,2,1768
Community_sewage_management,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,738
toxin_induced_cancer_risk,http://www.co-ode.org/ontologies/ont.owl#Chronic_Disease,4,285
Community_noise_pollution,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,1424
accesibility_to_recreational_area,http://www.co-ode.org/ontologies/ont.owl#Built_in_environment,4,0
Local_community_infrastructre,http://www.co-ode.org/ontologies/ont.owl#At_the_microenvironmental_level,3,0
Street_lighting_quality,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,589
Arsenic_drinking_Water,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_home,3,4
water_quality,http://www.co-ode.org/ontologies/ont.owl#workplace_as_macroenvironment|http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,2,16871
Disaster_prepardness_in_urban_area,http://www.co-ode.org/ontologies/ont.owl#Community_resilience,5,0
Carbon_monoxide_Exposure,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,3,48
Paint_chemical_inhalation,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,3,41
Bacterial_contamination_in_water_storage_tanks,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,6,8
At_the_Individual_level,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,4,533427
Flood_control_mechanisms,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,336
Factors_affecting_mobility,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,3,3029
Contaminants_in_public_water_source,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,5,2168
Waste_recycling_facilities,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,3,26
Level_of_pollution,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,3,57454
air_quality,http://www.co-ode.org/ontologies/ont.owl#workplace_as_macroenvironment|http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,2,12207
Global_heat_Wave,http://www.co-ode.org/ontologies/ont.owl#Extreme_weather_Events,3,278
At_the_global_level,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,4,115663
Social_Support_network,http://www.co-ode.org/ontologies/ont.owl#Community_resilience,3,236
High_level_radon_home,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_home,4,20
Unregulated_cosmetic_use,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,3,26
Indoor_air_purification,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,3,67
Parks_and_recreational_facility_gaps,http://www.co-ode.org/ontologies/ont.owl#Accessibility_to_green_space,5,5
